anime_ids,name
1723,Kimi no Na wa.
82,Fullmetal Alchemist: Brotherhood
296,Gintama°
127,Steins;Gate
137,Gintama&#039;
1458,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
405,Hunter x Hunter (2011)
2028,Ginga Eiyuu Densetsu
186,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
188,Gintama&#039;: Enchousen
8,Clannad: After Story
6306,Koe no Katachi
41,Gintama
62,Code Geass: Hangyaku no Lelouch R2
293,Haikyuu!! Second Season
19,Sen to Chihiro no Kamikakushi
977,Shigatsu wa Kimi no Uso
270,Mushishi Zoku Shou 2nd Season
164,Ookami Kodomo no Ame to Yuki
49,Code Geass: Hangyaku no Lelouch
591,Hajime no Ippo
569,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
12,Cowboy Bebop
304,One Punch Man
18,Mononoke Hime
782,Suzumiya Haruhi no Shoushitsu
422,Monogatari Series: Second Season
247,Mushishi Zoku Shou
28,Mushishi
367,Tengen Toppa Gurren Lagann
23,Great Teacher Onizuka
745,Hajime no Ippo: New Challenger
996,Mushishi Zoku Shou: Suzu no Shizuku
158,Natsume Yuujinchou Shi
27,Howl no Ugoku Shiro
865,Fate/Zero 2nd Season
5586,Kizumonogatari II: Nekketsu-hen
384,Monster
165,Bakuman. 3rd Season
6,Death Note
2923,Gintama°: Aizome Kaori-hen
1441,Ansatsu Kyoushitsu (TV) 2nd Season
229,Haikyuu!!
956,Hajime no Ippo: Rising
724,Kara no Kyoukai 5: Mujun Rasen
145,Natsume Yuujinchou San
972,Ping Pong The Animation
240,Mushishi Special: Hihamukage
1320,Boku dake ga Inai Machi
792,Yojouhan Shinwa Taikei
2566,Aria The Origination
2910,Kamisama Hajimemashita: Kako-hen
754,Rainbow: Nisha Rokubou no Shichinin
1541,Re:Zero kara Hajimeru Isekai Seikatsu
726,Tengen Toppa Gurren Lagann Movie: Lagann-hen
84,Zoku Natsume Yuujinchou
138,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
267,Kuroko no Basket 3rd Season
1121,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
148,Hotarubi no Mori e
287,Shokugeki no Souma
3301,Gintama: Yorinuki Gintama-san on Theater 2D
1316,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season
1577,Gintama Movie: Shinyaku Benizakura-hen
441,Hellsing Ultimate
257,Kiseijuu: Sei no Kakuritsu
1434,Shouwa Genroku Rakugo Shinjuu
2987,Uchuu Kyoudai
292,Bakemono no Ko
389,Hotaru no Haka
209,Kuroko no Basket 2nd Season
1079,Major S5
1206,Ghost in the Shell: Stand Alone Complex 2nd GIG
742,Kara no Kyoukai 7: Satsujin Kousatsu (Kou)
939,Kingdom 2nd Season
579,Slam Dunk
142,Usagi Drop
2798,Girls und Panzer der Film
328,Mob Psycho 100
39,Nana
678,Baccano!
985,Mushishi Zoku Shou: Odoro no Michi
202,Shingeki no Kyojin
139,Bakuman. 2nd Season
1086,Cross Game
3110,Doukyuusei (Movie)
540,Evangelion: 2.0 You Can (Not) Advance
170,Shinsekai yori
1824,Uchuu Senkan Yamato 2199
180,Chihayafuru 2
376,Fate/Zero
911,JoJo no Kimyou na Bouken (TV)
135,Mahou Shoujo Madoka★Magica
403,Nichijou
173,Psycho-Pass
1385,Barakamon
1160,Diamond no Ace: Second Season
214,Magi: The Kingdom of Magic
411,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
1124,Major: World Series
533,Samurai Champloo
329,Shokugeki no Souma: Ni no Sara
99,Katanagatari
1591,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
1094,Major S6
1469,Mononoke
1865,Shirobako
1063,Ashita no Joe 2
575,Hunter x Hunter
307,Noragami Aragoto
166,Sakamichi no Apollon
32,Tonari no Totoro
388,Ghost in the Shell: Stand Alone Complex
34,Kaze no Tani no Nausicaä
224,No Game No Life
4313,Romeo no Aoi Sora
1887,Yuu☆Yuu☆Hakusho
1757,Kino no Tabi: The Beautiful World
160,Kuroko no Basket
2294,Nodame Cantabile
370,Ookami to Koushinryou II
1306,Shingeki no Kyojin: Kuinaki Sentaku
1117,Steins;Gate: Oukoubakko no Poriomania
1158,Fate/stay night: Unlimited Blade Works 2nd Season
3444,Kemono no Souja Erin
1915,Kizumonogatari I: Tekketsu-hen
532,Neon Genesis Evangelion: The End of Evangelion
76,Toradora!
560,Toki wo Kakeru Shoujo
689,Tsubasa: Tokyo Revelations
1986,Owarimonogatari
14,Rurouni Kenshin: Meiji Kenkaku Romantan
681,Stranger: Mukou Hadan
2174,Detective Conan Movie 06: The Phantom of Baker Street
1148,Fate/stay night: Unlimited Blade Works
1033,Major S1
1256,Nanatsu no Taizai
74,Natsume Yuujinchou
719,One Piece Film: Strong World
537,Higurashi no Naku Koro ni Kai
1011,Hunter x Hunter OVA
1013,Hunter x Hunter: Greed Island Final
1423,Kuroshitsuji: Book of Murder
1032,Major S2
1081,One Outs
1484,Beck
1935,Berserk
530,Cowboy Bebop: Tengoku no Tobira
1055,Major S3
2055,Mobile Suit Gundam Unicorn
963,Natsume Yuujinchou: Itsuka Yuki no Hi ni
46,NHK ni Youkoso!
3073,Rose of Versailles
413,Sakurasou no Pet na Kanojo
9,Angel Beats!
369,Bakemonogatari
592,Hajime no Ippo: Champion Road
525,One Piece Film: Z
37,Ouran Koukou Host Club
3141,Detective Conan Movie 13: The Raven Chaser
103,Durarara!!
2417,Nodame Cantabile Finale
1939,Planetes
341,Shelter
31,Tenkuu no Shiro Laputa
1575,Gintama: Shiroyasha Koutan
2292,Hachimitsu to Clover II
372,InuYasha: Kanketsu-hen
930,Kaguya-hime no Monogatari
50,Katekyo Hitman Reborn!
251,Kuroshitsuji: Book of Circus
368,Ookami to Koushinryou
325,Boku no Hero Academia
1139,Gin no Saji 2nd Season
949,Little Busters!: Refrain
1106,Major: Message
2680,Saint Seiya: The Lost Canvas - Meiou Shinwa 2
1105,SKET Dance
115,Bakuman.
161,Danshi Koukousei no Nichijou
206,Kotonoha no Niwa
995,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen
1067,Major S4
967,Omoide no Marnie
2123,Working!!!: Lord of the Takanashi
1263,Ghost in the Shell
131,K-On! Movie
1002,Kuroko no Basket: Saikou no Present Desu
2701,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s
1992,Sennen Joyuu
1720,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
697,xxxHOLiC Kei
1920,Berserk: Ougon Jidai-hen III - Kourin
289,Death Parade
449,Fullmetal Alchemist
1471,Gyakkyou Burai Kaiji: Ultimate Survivor
1012,Hunter x Hunter: Greed Island
1362,Redline
151,Chihayafuru
6641,Detective Conan Movie 20: The Darkest Nightmare
363,Dragon Ball Z
1156,Fate/stay night: Unlimited Blade Works - Prologue
1890,Kokoro ga Sakebitagatterunda.
612,Mimi wo Sumaseba
200,Nagi no Asukara
385,Neon Genesis Evangelion
5151,One Piece Film: Gold
1762,Tokyo Godfathers
359,Trigun
1089,xxxHOLiC Rou
1584,Gintama: Shinyaku Benizakura-hen
1590,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari
407,Sekaiichi Hatsukoi 2
981,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
5277,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA
3082,Aria The Natural
1053,Black Lagoon: The Second Barrage
7,Clannad
933,Kami nomi zo Shiru Sekai: Megami-hen
88,Summer Wars
713,Baccano! Specials
3142,Detective Conan Movie 14: The Lost Ship in the Sky
1475,Gyakkyou Burai Kaiji: Hakairoku-hen
4341,Initial D Final Stage
2298,Kaiba
955,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari
1198,Cardcaptor Sakura Movie 2: Fuuin Sareta Card
593,Hajime no Ippo: Mashiba vs. Kimura
275,Kamisama Hajimemashita◎
77,Skip Beat!
265,Yowamushi Pedal: Grande Road
1912,Gankutsuou
30,Majo no Takkyuubin
2416,Nodame Cantabile: Paris-hen
916,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna
2198,Osomatsu-san
1255,Space☆Dandy 2nd Season
1286,Tsumiki no Ie
70,Detroit Metal City
394,Eve no Jikan
785,Eve no Jikan (Movie)
108,Kaichou wa Maid-sama!
2374,Saint Seiya: Meiou Hades Juuni Kyuu-hen
260,Zankyou no Terror
670,Darker than Black: Kuro no Keiyakusha
2173,Detective Conan Movie 05: Countdown to Heaven
1137,Diamond no Ace
248,Fairy Tail (2014)
964,JoJo no Kimyou na Bouken: Stardust Crusaders
3776,Maison Ikkoku
1860,Non Non Biyori Repeat
654,Shijou Saikyou no Deshi Kenichi
3564,Yuusha-Ou GaoGaiGar Final
261,Gekkan Shoujo Nozaki-kun
3512,Initial D Fourth Stage
395,Junjou Romantica 2
1378,Kaze Tachinu
873,Kingdom
118,Kuragehime
182,Magi: The Labyrinth of Magic
1783,Mobile Suit Gundam 00
300,ReLIFE
2385,Saint Seiya: The Lost Canvas - Meiou Shinwa
665,Seirei no Moribito
1261,Akatsuki no Yona
2176,Detective Conan Movie 08: Magician of the Silver Sky
1429,Durarara!!x2 Ketsu
1155,Free!: Eternal Summer Special
4666,Glass no Kamen (2005)
374,Gosick
875,Hajime no Ippo: Boxer no Kobushi
1491,Initial D First Stage
427,Kill la Kill
1608,Lovely★Complex
1463,Perfect Blue
2935,Princess Tutu
1371,Sakasama no Patema
1799,Tsubasa: Shunraiki
1059,Ashita no Joe
101,Fairy Tail
2512,Ghost in the Shell: Stand Alone Complex - Solid State Society
322,Magi: Sinbad no Bouken (TV)
2484,Shoujo Kakumei Utena
718,Tengen Toppa Gurren Lagann Movie: Gurren-hen
2178,Detective Conan Movie 10: Requiem of the Detectives
59,Evangelion: 1.0 You Are (Not) Alone
447,Full Metal Panic? Fumoffu
3259,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture
711,Kara no Kyoukai 3: Tsuukaku Zanryuu
1794,Mobile Suit Gundam 00 Second Season
408,Nisemonogatari
1923,Tsukimonogatari
1426,Ansatsu Kyoushitsu (TV)
2897,Aria The Avvenire
282,Baby Steps 2nd Season
47,D.Gray-man
3261,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari"
1427,Gintama: Jump Festa 2014 Special
1336,Lupin III: Cagliostro no Shiro
1096,Ookiku Furikabutte: Natsu no Taikai-hen
3115,Saiunkoku Monogatari 2nd Season
3165,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai
416,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
3006,Dennou Coil
588,Eureka Seven
2551,Ghost in the Shell: Stand Alone Complex - The Laughing Man
1588,Gintama: Dai Hanseikai
2241,Hidamari Sketch: Sae Hiro Sotsugyou-hen
1010,Hikaru no Go
91,Kimi ni Todoke
924,Kokoro Connect: Michi Random
397,Tokyo Magnitude 8.0
1195,Cardcaptor Sakura
732,ef: A Tale of Melodies.
1134,Gin no Saji
1910,Hachimitsu to Clover
3088,Kodomo no Omocha (TV)
2196,Love Live! The School Idol Movie
3037,Sekaiichi Hatsukoi OVA
1867,Working!!!
535,Black Lagoon
3147,Detective Conan Movie 18: The Sniper from Another Dimension
1565,Final Fantasy VII: Advent Children Complete
42,Higurashi no Naku Koro ni
163,Hyouka
1467,Interstella5555: The 5tory of The 5ecret 5tar 5ystem
459,Kanon (2006)
132,Kimi ni Todoke 2nd Season
227,Noragami
5780,Persona 3 the Movie 4: Winter of Rebirth
735,xxxHOLiC Shunmuki
175,Zetsuen no Tempest
2588,Aria The Origination: Sono Choppiri Himitsu no Basho ni...
